URL;Title;Type;Description;Short Description;Visibility;Show when out of stock;Width;Height;Depth;Diameter;SEO Title;SEO Keywords;SEO Description;Notes;Image 1;Image 1 Alt Text;Image 2;Image 2 Alt Text;Image 3;Image 3 Alt Text;Categories;Vendor;Collections;Tags;Variant Image;Variant Image Alt Text;Variant UUID;Variant SKU;Variant Barcode;Variant Quantity;Track inventory;Variant Buy if empty;Variant Purchase Price;Variant Promotion Price;Variant Regular Price;Variant Weight;Tax;Variant Property Name 1;Variant Property Value 1;Variant Property Hex 1;Variant Property Name 2;Variant Property Value 2;Variant Property Hex 2;Variant Property Name 3;Variant Property Value 3;Image 4;Image 4 Alt Text;Image 5;Image 5 Alt Text;Image 6;Image 6 Alt Text;Image 7;Image 7 Alt Text;Image 8;Image 8 Alt Text;Variant Property Hex 3;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;physical;"<p>Krótka klasyczna koszula nocna z włoskiej, drukowanej satyny z koronką. Cienkie, regulowane ramiączka krzyżują się na plecach i pięknie je eksponują. Przy dekolcie z przodu i z tyłu ażurowa, ręcznie wycinana  koronka w dopasowanym kolorystycznie odcieniu. Piękny druk w zielone liście przywodzi na myśl wakacyjne klimaty. <br><br>Długość: 88cm<br>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)<br>Skład: 100% satyna<br>Indeks: 202401</p>

";<p>Krótka klasyczna koszula nocna z włoskiej, drukowanej satyny z koronką.</p>;1;1;;;;;Koszulka z satyny w drukowane liście palmowe;satynowa,z koronką,palmera;Koszulka z satyny w drukowane liście palmowe;;https://cdn.shoplo.com/0380/products/orig/aba5/3124-202401.jpg;Satynowa koszulka;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;https://cdn.shoplo.com/0380/products/orig/aba5/3128-202401-1-1.jpg;Satynowa koszulka;"Nowości;Produkty > Koszulki nocne;Produkty;Pomysł na prezent";COEMI;Wiosna Lato 2020;satynowa,z koronką,palmera,koszulka2020,maj2020;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;f173de54-8461-4f2e-988b-1222138680f2;202401;202401;4;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS;#fce5ef;Materiał;satyna;;;;;;;;;;;;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;0293cec1-1686-47e1-9f7e-03b80aa684de;202401-1;202401;7;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;7e784bc7-1f31-414c-9d21-c88a533d5771;202401-2;202401;4;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;2ad074b6-82a3-4201-b95f-67b63baf9d31;202401-3;202401;2;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;L;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;5363c610-f874-4f06-ba05-01b6531ff552;202401-4;202401;4;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
koszulka-z-satyny-w-drukowane-liscie-palmowe;Koszulka z satyny w drukowane liście palmowe;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba5/3126-202401-1.jpg;Satynowa koszulka;2f221c6a-89ab-43d3-87ed-378b996681c3;202401-5;202401;2;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XXL;#a97d70;Materiał;satyna;;;;;;;;;;;;;;
krotki-satynowy-szlafrok-damski;Krótki satynowy szlafrok damski ;physical;"<p>Krótki szlafrok damski z satyny. Prosty fason – szerokie rękawy i pasek w talii są tłem dla pięknego druku w duże, ale jednocześnie delikatne i eleganckie liście. W środku troczki ułatwiające regulację. Tę pięknie układającą się na sylwetce drukowaną satynę sprowadzamy z Włoch.<br><br>Długość w rozmiarze M: 90 cm<br>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)<br>Skład: 100% satyna<br>Indeks: 202407</p>

";<p>Krótki szlafrok damski z satyny.</p>;1;1;;;;;Krótki satynowy szlafrok damski ;satynowy,szlafrok,palmera,szlafrok damski;Krótki satynowy szlafrok damski ;;https://cdn.shoplo.com/0380/products/orig/aba7/3834-202407-poszerzone.jpg;Krótki satynowy szlafrok damski ;;;;;"Nowości;Produkty > Szlafroki;Produkty;Pomysł na prezent";COEMI;Wiosna Lato 2020;satynowy,palmera,szlafrok damski,szlafrok2020,maj2020;https://cdn.shoplo.com/0380/products/orig/aba7/3834-202407-poszerzone.jpg;Krótki satynowy szlafrok damski ;b2727ddd-e4cc-40e8-a8ea-6d6d7c966e5d;202407;202407;4;1;1;0;479;479;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS/S;#b81010;Materiał;satyna;;;;;;;;;;;;;;
krotki-satynowy-szlafrok-damski;Krótki satynowy szlafrok damski ;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba7/3834-202407-poszerzone.jpg;Krótki satynowy szlafrok damski ;0bee1c6b-3b9c-4cd1-9d7c-52006e989da3;202407-1;202407;1;1;1;0;479;479;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M/L;#000000;Materiał;satyna;;;;;;;;;;;;;;
krotki-satynowy-szlafrok-damski;Krótki satynowy szlafrok damski ;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba7/3834-202407-poszerzone.jpg;Krótki satynowy szlafrok damski ;2db5f2c7-9c49-47f2-8562-008be252f1e8;202407-2;202407;2;1;1;0;479;479;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL/XXL;#000000;Materiał;satyna;;;;;;;;;;;;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;physical;"<p>Klasyczna satynowa koszula damska w wersji do kostek. Cienkie, regulowane ramiączka krzyżują się na plecach i pięknie je eksponują. Dekolt z przodu i z tyłu ozdobiony jest delikatną, ażurową koronką w dopasowanym kolorystycznie odcieniu. Piękny druk w zielone liście przywodzi na myśl wakacyjne klimaty. Satyna miękko układa się wzdłuż sylwetki i pięknie ją podkreśla.</p>
<p>Długość w rozmiarze M: 130 cm<br>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)<br>Skład: 100% satyna<br>Indeks: 202405</p>



<p></p>";<p>Klasyczna satynowa koszula damska w wersji do kostek.</p>;1;1;;;;;Długa satynowa koszula nocna ;satynowa,palmera,koszula nocna,długa koszula nocna;Długa satynowa koszula nocna ;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;https://cdn.shoplo.com/0380/products/orig/aba9/3136-202405-1.jpg;Długa satynowa koszula nocna;;;"Nowości;Produkty > Koszulki nocne;Produkty;Pomysł na prezent";COEMI;Wiosna Lato 2020;satynowa,palmera,koszula nocna,długa koszula nocna,prezentdlamamy,maj2020;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;ba44132c-6b98-400b-9804-c4b752dc7d10;202405;202405;0;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;XS;#fce5ef;Materiał;satyna;;;;;;;;;;;;;;
